Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,MH_Care_Value,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,8.9,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,28.4,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,31.7,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,20.3,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,34.7,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,18.5,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,9,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,21.3,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,37.2,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,23.6,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,41.4,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,20.1,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,9.4,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,30.7,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,33.7,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,21,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,35,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,21.3,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,8.9,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,26.6,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,41.1,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,24,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,43.9,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,21.4,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,9.5,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,32.4,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,31.5,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,21.3,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,38.5,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,18.3,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,9,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,25.1,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,38.8,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,24.5,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,45.9,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,21.2,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,9.6,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,33.2,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,31.7,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,21.3,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,39.7,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,18.5,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,9,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,31.6,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,37.6,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,24.5,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,50.3,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,18.3,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,9.2,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,32.2,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,31.2,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Straight,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,20.9,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,39,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,17.8,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Straight,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,9,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,25.6,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,36.9,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Straight,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,24,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,45.6,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,19.6,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Straight,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,9.5,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,32.2,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,33.2,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Straight,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,21.3,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,32.8,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,19.3,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Straight,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,9.5,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,22.9,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,38.9,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Straight,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,24.6,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,39.8,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,23.3,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Straight,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,9.5,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,29.5,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.3,42,"Jan 26 - Feb 7, 2022",01/26/2022,02/07/2022,31.7,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Straight,3.3,42,"Jan 26 - Feb 7, 2022",01/26/2022,02/07/2022,20.7,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.3,42,"Jan 26 - Feb 7, 2022",01/26/2022,02/07/2022,37.5,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.3,42,"Jan 26 - Feb 7, 2022",01/26/2022,02/07/2022,19.4,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Straight,3.3,42,"Jan 26 - Feb 7, 2022",01/26/2022,02/07/2022,8.8,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.3,42,"Jan 26 - Feb 7, 2022",01/26/2022,02/07/2022,27.1,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.3,42,"Jan 26 - Feb 7, 2022",01/26/2022,02/07/2022,37.1,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Straight,3.3,42,"Jan 26 - Feb 7, 2022",01/26/2022,02/07/2022,23.8,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.3,42,"Jan 26 - Feb 7, 2022",01/26/2022,02/07/2022,44.7,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.3,42,"Jan 26 - Feb 7, 2022",01/26/2022,02/07/2022,20.3,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Straight,3.3,42,"Jan 26 - Feb 7, 2022",01/26/2022,02/07/2022,9.4,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.3,42,"Jan 26 - Feb 7, 2022",01/26/2022,02/07/2022,28.6,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.4,43,"Mar 2 - Mar 14, 2022",03/02/2022,03/14/2022,34.4,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Straight,3.4,43,"Mar 2 - Mar 14, 2022",03/02/2022,03/14/2022,20.7,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.4,43,"Mar 2 - Mar 14, 2022",03/02/2022,03/14/2022,41.4,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.4,43,"Mar 2 - Mar 14, 2022",03/02/2022,03/14/2022,21.6,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Straight,3.4,43,"Mar 2 - Mar 14, 2022",03/02/2022,03/14/2022,9.6,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.4,43,"Mar 2 - Mar 14, 2022",03/02/2022,03/14/2022,32.4,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.4,43,"Mar 2 - Mar 14, 2022",03/02/2022,03/14/2022,41,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Straight,3.4,43,"Mar 2 - Mar 14, 2022",03/02/2022,03/14/2022,24.2,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.4,43,"Mar 2 - Mar 14, 2022",03/02/2022,03/14/2022,50.3,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.4,43,"Mar 2 - Mar 14, 2022",03/02/2022,03/14/2022,22.5,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Straight,3.4,43,"Mar 2 - Mar 14, 2022",03/02/2022,03/14/2022,9.9,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.4,43,"Mar 2 - Mar 14, 2022",03/02/2022,03/14/2022,28.4,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.4,44,"Mar 30 - Apr 11, 2022",03/30/2022,04/11/2022,38.8,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Straight,3.4,44,"Mar 30 - Apr 11, 2022",03/30/2022,04/11/2022,21.7,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.4,44,"Mar 30 - Apr 11, 2022",03/30/2022,04/11/2022,43.1,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.4,44,"Mar 30 - Apr 11, 2022",03/30/2022,04/11/2022,19.4,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Straight,3.4,44,"Mar 30 - Apr 11, 2022",03/30/2022,04/11/2022,9.5,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.4,44,"Mar 30 - Apr 11, 2022",03/30/2022,04/11/2022,29.7,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.4,44,"Mar 30 - Apr 11, 2022",03/30/2022,04/11/2022,44.8,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Straight,3.4,44,"Mar 30 - Apr 11, 2022",03/30/2022,04/11/2022,25,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.4,44,"Mar 30 - Apr 11, 2022",03/30/2022,04/11/2022,51.9,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.4,44,"Mar 30 - Apr 11, 2022",03/30/2022,04/11/2022,22,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Straight,3.4,44,"Mar 30 - Apr 11, 2022",03/30/2022,04/11/2022,9.5,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.4,44,"Mar 30 - Apr 11, 2022",03/30/2022,04/11/2022,32.3,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,34.3,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Straight,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,21.6,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,38.6,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,24.6,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Straight,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,9.7,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,27.4,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,41,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Straight,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,24.9,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,46,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,15,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Straight,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,9.6,,,,,
