Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,MH_Care_Value,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,23.8,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,23.5,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,22.7,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,19.3,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,13.8,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,18 - 29 years,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,15.9,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,30 - 39 years,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,13.8,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,40 - 49 years,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,11.2,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,50 - 59 years,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,7.6,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,60 - 69 years,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,5.3,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,70 - 79 years,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,3.3,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,80 years and above,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,3.5,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,18 - 29 years,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,19.1,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,30 - 39 years,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,20,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,40 - 49 years,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,20.4,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,50 - 59 years,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,21.2,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,60 - 69 years,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,21,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,70 - 79 years,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,16.6,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,80 years and above,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,13.3,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,12.1,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,12.8,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,10.4,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,7.9,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,6.2,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,3.8,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,3.6,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,23.8,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,24.8,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,24.1,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,23.5,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,22.6,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,17.5,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,14.9,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,18 - 29 years,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,18.5,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,30 - 39 years,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,14.6,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,40 - 49 years,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,10.8,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,50 - 59 years,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,8.5,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,60 - 69 years,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,5.8,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,70 - 79 years,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,3.3,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,18 - 29 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,17.5,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,30 - 39 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,19.2,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,40 - 49 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,21.1,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,50 - 59 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,21.1,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,60 - 69 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,20.1,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,70 - 79 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,18.2,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,80 years and above,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,12.9,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,12.5,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,12.4,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,10.8,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,8.3,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,5.5,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,4.3,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,2.9,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,22.2,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,24.6,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,24.5,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,23.6,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,21.5,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,19.4,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,13.9,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,18 - 29 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,16.6,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,30 - 39 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,14,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,40 - 49 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,10.7,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,50 - 59 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,8.3,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,60 - 69 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,5.2,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,70 - 79 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,2.6,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,80 years and above,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,2.3,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,18 - 29 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,19.4,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,30 - 39 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,21,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,40 - 49 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,21.3,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,50 - 59 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,22.9,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,60 - 69 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,19.5,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,70 - 79 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,17.6,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,80 years and above,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,12,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,14.5,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,14.5,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,10.8,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,9.6,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,5.9,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,3.5,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,24.7,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,26.5,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,25.1,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,25.7,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,21.4,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,18.5,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,14,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,30 - 39 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,15.3,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,18 - 29 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,18.5,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,40 - 49 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,10.9,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,50 - 59 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,8.8,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,60 - 69 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,5.4,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,70 - 79 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,3,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,80 years and above,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,5.5,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,18 - 29 years,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,21,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,30 - 39 years,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,22.3,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,40 - 49 years,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,20.3,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,50 - 59 years,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,21.4,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,60 - 69 years,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,21.5,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,70 - 79 years,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,18.4,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,80 years and above,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,13.6,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,14.8,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,14.4,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,10.1,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,9.2,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,6.3,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,3.2,,,,,
