Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,MH_Care_Value,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,West Virginia,West Virginia,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,22.4,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,19.7,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18.7,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,8.5,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,Alaska,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,7.5,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,Arizona,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,7.3,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,Arkansas,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,6.1,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,California,California,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,9.5,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,Colorado,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,10.1,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,12.3,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,10,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,District of Columbia,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,19.1,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Florida,Florida,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,7.8,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,Georgia,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,7.9,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,Hawaii,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,11.9,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,Idaho,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,8.3,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,Illinois,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,8.8,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,Indiana,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,6.8,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,Iowa,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,8.1,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,Kansas,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,7.7,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,Kentucky,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,5.8,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,Louisiana,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,9.5,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Maine,Maine,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,12.4,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,Maryland,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,8.7,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,Massachusetts,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,12.7,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,Michigan,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,9,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,Minnesota,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,9.5,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,Mississippi,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,6.8,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,Missouri,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,7.9,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Montana,Montana,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,9.2,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,Nebraska,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,6.8,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,Nevada,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,6.7,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,New Hampshire,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,7.1,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,New Jersey,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,9.3,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,New Mexico,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,10.1,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,New York,New York,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,10.5,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,North Carolina,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,8.9,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,North Dakota,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,4.9,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,Ohio,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,9.6,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,Oklahoma,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,7.5,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,13,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,9.3,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,13.5,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,5.4,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,6.2,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,8.2,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Texas,Texas,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,6.7,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Utah,Utah,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,9.4,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,Vermont,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,11.4,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,Virginia,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,9.3,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Washington,Washington,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,10.3,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,West Virginia,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,5.1,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,Wisconsin,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,7.2,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,Wyoming,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,5.3,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,25.2,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,Alaska,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,19.2,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,Arizona,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,20.2,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,Arkansas,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,25.3,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,California,California,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,20.1,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,Colorado,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,22,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.1,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,24,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,District of Columbia,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,27.6,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Florida,Florida,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.3,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,Georgia,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,22.8,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,Hawaii,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,19.6,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,Idaho,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,25.2,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,Illinois,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,20.3,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,Indiana,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,25.3,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,Iowa,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,25,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,Kansas,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.9,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,Kentucky,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,28.4,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,Louisiana,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,26.6,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maine,Maine,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,28,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,Maryland,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,20.5,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,Massachusetts,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,24.6,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,Michigan,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.4,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,Minnesota,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.7,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,Mississippi,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.7,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,Missouri,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,25.9,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Montana,Montana,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.9,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,Nebraska,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,25.3,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,Nevada,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,17.7,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,New Hampshire,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,24.3,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,New Jersey,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.8,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,New Mexico,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New York,New York,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.9,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,North Carolina,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,22.5,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,North Dakota,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,20.7,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,Ohio,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.6,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,Oklahoma,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,24.3,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,28.3,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,25.5,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,25.9,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.9,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,20.1,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,24,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Texas,Texas,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18.8,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Utah,Utah,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,27.5,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,Vermont,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,27.8,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,Virginia,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.8,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Washington,Washington,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,25,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,West Virginia,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.5,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,Wisconsin,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,22.1,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,Wyoming,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,20.5,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,8.4,,,,,
